Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0
