,Año,Trimestre,Banda ancha fija,Dial up,Mbps (Media de bajada),Trimestre.1,Provincia_x,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps,Otros Mbps,Ingresos (miles de pesos),Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otras conexiones,Total Mbps-conexiones
24,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Buenos Aires,203297,2790663,1799013,150290,101294,5044557
25,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Capital Federal,70108,1177475,203756,4493,48879,1504711
26,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Catamarca,5901,11025,56542,1384,81,74933
27,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Chaco,11343,58929,64463,8404,12404,155543
28,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Chubut,26306,77217,26356,30867,9930,170676
29,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Córdoba,102812,449784,458985,61121,9497,1082199
30,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Corrientes,18390,85595,38268,10409,5232,157894
31,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Entre Ríos,36574,158283,66180,23950,11565,296552
32,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Formosa,9147,18631,17908,16851,181,62718
33,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Jujuy,10554,51093,51084,4106,1216,118053
34,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,La Pampa,6844,59008,35556,19681,1106,122195
35,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,La Rioja,2827,55443,23086,6396,30,87782
36,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Mendoza,17674,70932,185460,27606,925,302597
37,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Misiones,23217,77561,81498,13378,6902,202556
38,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Neuquén,24076,73298,41577,24387,908,164246
39,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Río Negro,20841,49727,66889,17733,15829,171019
40,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Salta,23858,99150,61543,11807,6503,202861
41,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,San Juan,12669,18543,44904,23594,6956,106666
42,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,San Luis,4038,41260,31539,78954,299,156090
43,2024,1,11621363,11793,139.15,Ene-Mar 2024,Capital Federal,516.0,5418.0,29753.0,51415.0,37369.0,5957.0,1374283.0,0.0,280419124,Santa Cruz,7768,14435,49545,7799,661,80208
